user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the waiting period?,['The waiting period applicable under this policy is 30 days.'],The waiting period is 30 days.,The waiting period is 30 days.,1.0,0.9999999999999997,0.9999999999,1.0
What is the deductible?,"['Each claim is subject to a deductible of ₹5,000.']","The deductible is ₹5,000.","The deductible is ₹5,000.",1.0,0.9999999999998869,0.9999999999,1.0
What is the sum insured?,"['The maximum liability of the insurer under this policy is ₹10,00,000.']","The sum insured is ₹10,00,000.","The sum insured is ₹10,00,000.",1.0,0.9999999999998849,0.9999999999,1.0
Does this policy cover fire damage?,"['The policy covers loss or damage caused by fire, lightning and explosion.']","Yes, fire damage is covered.",The policy covers fire damage.,1.0,0.7961221149180974,0.9999999999,1.0
Is flood damage covered?,"['Loss caused by flood, inundation and storm is covered.']","Yes, flood damage is covered.",Flood damage is covered.,1.0,0.9999999999998774,0.9999999999,1.0
Are earthquake damages covered?,['Earthquake (Fire & Shock) is covered under this policy.'],"Yes, earthquake damage is covered under the policy.",Earthquake damage is covered.,1.0,0.8716019902259516,0.9999999999,1.0
What are the major exclusions?,"['The policy excludes wear and tear, war, nuclear risks and intentional acts.']","Wear and tear, war, nuclear risks and intentional damage are excluded.","Wear and tear, war, nuclear risks and intentional damage are excluded.",0.75,0.38730462398397564,0.9999999999,1.0
Does the policy cover theft?,['Loss arising due to burglary or theft is covered.'],"Yes, theft is covered.",The policy covers theft.,1.0,0.7663456952472613,0.9999999999,1.0
How can I file a claim?,['The insured should intimate the insurer immediately and submit claim documents.'],Notify the insurer immediately and submit the required documents.,Claims should be reported immediately with supporting documents.,1.0,0.46108431772156977,0.9999999999,1.0
What documents are required for claim settlement?,"['Documents required include claim form, policy schedule, ID proof and supporting evidence.']","Claim form, policy copy, identity proof and supporting documents are required.","Claim form, policy copy, identity proof and supporting documents are required.",0.75,0.6994231415048798,0.9999999999,1.0
Does this policy offer cashless claims?,['Cashless facility is available at authorized network providers.'],"Yes, cashless claims are available at network hospitals or garages.",Cashless claims are available.,0.6666666666666666,0.694540117599606,0.9999999999,1.0
What is the policy tenure?,['The policy shall remain valid for a period of one year.'],The policy tenure is one year.,The policy tenure is one year.,1.0,0.9999999999999996,0.9999999999,1.0
Who is eligible for this policy?,['This policy is available to eligible individuals aged 18 years and above.'],Individuals meeting the eligibility criteria can purchase this policy.,Eligible individuals aged 18 years and above can purchase this policy.,0.5,0.7963745784709465,0.9999999999,1.0
Can the policy be renewed?,['The policy is renewable subject to payment of renewal premium.'],"Yes, the policy can be renewed before expiry.",The policy can be renewed.,0.5,0.8839524965994773,0.9999999999,1.0
Does the policy provide roadside assistance?,['The policy provides 24×7 roadside assistance.'],"Yes, 24×7 roadside assistance is available.",The policy provides 24×7 roadside assistance.,1.0,0.6909614101807712,0.9999999999,1.0
